Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
prudent,PROOD-nt,adj.,cautious; careful,A miser hoards money not because he is prudent but because he is greedy.,"careful, judicious","reckless, imprudent",Latin prudens (foreseeing)
prune,PROON,v.,cut away; trim,"With the help of her editor, she was able to prune her manuscript into publishable form.","trim, cut back",-,Old French proignier
prurient,PROOR-ee-ant,adj.,having or causing lustful thoughts and desires,"Aroused by his prurient impulses, the dirty old man leered at the sweet young thing and offered to give her a sample of his ""prowess""; his prurience appalled her.","lascivious, lewd","chaste, modest","Latin prurire (to itch, long for)"
pry,PRY,v.,inquire impertinently; use leverage to raise or open something,"Though Nora claimed she didn't mean to pry, everyone knew she was just plain nosy. With a crowbar Long John Silver pried up the lid of the treasure chest.",snoop; lever open,-,Middle English prien
pseudonym,SOOD-n-im,n.,pen name,Samuel Clemens' pseudonym was Mark Twain.,"pen name, alias",-,Greek pseudes (false) + onyma (name)
psyche,SY-kee,n.,soul; mind,It is difficult to delve into the psyche of a human being.,"mind, spirit",-,"Greek psyche (soul, breath)"
psychiatrist,sy-KY-uh-trist,n.,a doctor who treats mental diseases,A psychiatrist often needs long conferences with his patient before a diagnosis can be made.,-,-,Greek psyche (soul) + iatros (healer)
psychopathic,sy-koh-PATH-ik,adj.,pertaining to mental derangement,The psychopathic patient suffers more frequently from a disorder of the nervous system than from a diseased brain.,"deranged, disturbed",-,Greek psyche (soul) + pathos (suffering)
psychosis,sy-KOH-sis,n.,mental disorder,We must endeavor to find an outlet for the patient's repressed desires if we hope to combat this psychosis.,mental illness,-,Greek psyche (soul) + -osis (condition)
pterodactyl,ter-uh-DAK-til,n.,extinct flying reptile,The remains of pterodactyls indicate that these flying reptiles had a wingspan of as much as twenty feet.,-,-,Greek pteron (wing) + daktylos (finger)
puerile,PYOO-er-il,adj.,childish,His puerile pranks sometimes offended his more mature friends.,"childish, immature","mature, adult",Latin puer (boy)
pugilist,PYOO-juh-list,n.,boxer,The famous pugilist Cassius Clay changed his name to Muhammed Ali.,"boxer, fighter",-,Latin pugil (boxer)
pugnacity,pug-NAS-i-tee,n.,combativeness; disposition to fight,"""Put up your dukes!"" he cried, making a fist to show his pugnacity.","belligerence, aggressiveness",peaceableness,Latin pugnax (combative)
puissant,PWIS-ant,adj.,powerful; strong; potent,We must keep his friendship for he will make a puissant ally.,"mighty, powerful","weak, feeble",Old French puissant
pulchritude,PUL-kri-tood,n.,beauty; comeliness,I do not envy the judges who have to select this year's Miss America from this collection of female pulchritude.,"beauty, attractiveness",ugliness,"Latin pulchritudo, from pulcher (beautiful)"
pulmonary,PUL-muh-ner-ee,adj.,pertaining to the lungs,"In his researches on pulmonary diseases, he discovered many facts about the lungs of animals and human beings.",-,-,Latin pulmo (lung)
pulsate,PUL-sayt,v.,throb,We could see the blood vessels in his temple pulsate as he became more angry.,"throb, beat",-,Latin pulsare (to beat)
pulverize,PUL-vuh-ryz,v.,crush or grind into very small particles,"Before sprinkling the dried herbs into the stew, Michael first pulverized them into a fine powder.","crush, grind",-,Latin pulvis (dust)
pummel,PUM-ul,v.,beat or pound with fists,"Swinging wildly, Pammy pummeled her brother around the head and shoulders.","batter, thrash",-,from pommel
punctilious,punk-TIL-ee-us,adj.,stressing niceties of conduct or form; minutely attentive to fine points,Percy is punctilious about observing the rules of etiquette whenever Miss Manners invites him to stay.,"meticulous, scrupulous","careless, slipshod",Italian puntiglio (fine point)
pundit,PUN-dit,n.,authority on a subject; learned person; expert,Some authors who write about SAT-I as if they are pundits actually know very little about the test.,"expert, authority","novice, amateur",Hindi pandit (learned man)
pungent,PUN-jent,adj.,stinging; sharp in taste or smell; caustic,The pungent odor of ripe Limburger cheese appealed to Simone but made Stanley gag.,"acrid, sharp","bland, mild",Latin pungere (to prick)
punitive,PYOO-ni-tiv,adj.,punishing,He asked for punitive measures against the offender.,"retributive, disciplinary","rewarding, lenient",Latin punire (to punish)
puny,PYOO-nee,adj.,insignificant; tiny; weak,Our puny efforts to stop the flood were futile.,"feeble, weak","strong, robust",French puis né (born after)
purchase,PUR-chis,n.,firm grasp or footing,The mountaineer struggled to get a proper purchase on the slippery rock.,"grip, foothold",-,Old French purchacier (to pursue)
purgatory,PUR-guh-tor-ee,n.,place of spiritual expiation,"In this purgatory, he could expect no help from his comrades.",-,-,Latin purgare (to purge)
purge,PURJ,v.,remove or get rid of something unwanted; free from blame or guilt; cleanse or purify,"The Communist government purged the party to get rid of members suspected of capitalist sympathies, sending those believed to be disloyal to labor camps in Siberia.","cleanse, eliminate",-,Latin purgare
purport,PUR-port,n.,intention; meaning,"If the purport of your speech was to arouse the rabble, you succeeded admirably.","gist, meaning",-,Latin pro (forth) + portare (to carry)
purported,per-POR-tid,adj.,alleged; claimed; reputed or rumored,The purported Satanists sacrificing live roosters in the park turned out to be a party of Shriners holding a chicken barbecue.,"alleged, supposed","verified, confirmed",from purport
purse,PURS,v.,pucker; contract into wrinkles,Miss Watson pursed her lips to show her disapproval of Huck's bedraggled appearance.,"pucker, wrinkle",-,Old French borse
purveyor,per-VAY-er,n.,furnisher of foodstuffs; caterer,"As purveyor of rare wines and viands, he traveled through France and Italy every year in search of new products to sell.","supplier, vendor",-,Latin providere (to provide)
pusillanimous,pyoo-suh-LAN-uh-mus,adj.,cowardly; fainthearted,You should be ashamed of your pusillanimous conduct during this dispute.,"cowardly, timid","brave, courageous",Latin pusillus (very small) + animus (spirit)
putative,PYOO-tuh-tiv,adj.,supposed; reputed,"Although there are some doubts, the putative author of this work is Massinger.","alleged, presumed","confirmed, proven",Latin putare (to think)
putrid,PYOO-trid,adj.,foul; rotten; decayed,"When the doctor removed the bandages, the putrid smell indicated that the wound had turned gangrenous.","rotten, decayed","fresh, wholesome",Latin putrere (to rot)
pylon,PY-lon,n.,marking post to guide aviators; steel tower supporting cables or telephone lines,Amelia Earhart carefully banked her airplane as she followed the line of pylons set up to mark the course of the Great Plane Race.,"tower, post",-,Greek pyle (gate)
pyromaniac,py-roh-MAY-nee-ak,n.,person with an insane desire to set things on fire,The detectives searched the area for the pyromaniac who had set these costly fires.,arsonist,-,Greek pyr (fire) + mania (madness)
quack,KWAK,n.,charlatan; impostor,Do not be misled by the exorbitant claims of this quack; he cannot cure you.,"charlatan, fraud",-,Dutch kwakzalver (hawker of salve)
quadruped,KWOD-roo-ped,n.,four-footed animal,Most mammals are quadrupeds.,-,biped,Latin quadru- (four) + pes (foot)
quaff,KWAF,v.,drink with relish,"As we quaffed our ale, we listened to the gay songs of the students in the tavern.","gulp, swig",sip,"origin uncertain, perhaps imitative"
quagmire,KWAG-myr,n.,"soft, wet, boggy land; complex or dangerous situation from which it is difficult to free oneself","Up to her knees in mud, Myra wondered how on earth she was going to extricate herself from this quagmire.","bog, morass; predicament",-,quag (bog) + mire
quail,KWAYL,v.,cower; lose heart,He was afraid that he would quail in the face of danger.,"cower, flinch",-,Middle English quailen
quaint,KWAYNT,adj.,odd; old-fashioned; picturesque,Her quaint clothes and old-fashioned language marked her as an eccentric.,"picturesque, charming","modern, ordinary","Old French cointe (clever), from Latin cognitus"
qualified,KWOL-uh-fyd,adj.,limited; restricted,"Unable to give the candidate full support, the mayor gave him only a qualified endorsement.","limited, conditional","unconditional, unqualified",Latin qualis (of what kind)
qualms,KWAHMZ,n.,"misgivings; uneasy fears, especially about matters of conscience",I have no qualms about giving this assignment to Helen; I know she will handle it admirably.,"misgivings, scruples","confidence, certainty","origin uncertain, Old English cwealm"
quandary,KWON-duh-ree,n.,dilemma,"When both Harvard and Stanford accepted Laura, she was in a quandary as to which school she should attend.","dilemma, predicament",-,origin uncertain
quarantine,KWOR-an-teen,n.,"isolation of a person, place, or ship to prevent spread of infection",We will have to place this house under quarantine until we determine the exact nature of the disease.,"isolation, seclusion",-,"Italian quaranta (forty, days of isolation)"
quarry,KWOR-ee,n.,victim; object of a hunt,The police closed in on their quarry.,"prey, target",-,Old French cuiree
rancor,RANG-ker,n.,bitterness; hatred,"Thirty years after the war, she could not let go of the past but was still consumed with rancor against the foe.","animosity, resentment, malice","goodwill, affection","From Latin rancor (rancidness, grudge), from rancere (to be rancid)"
random,RAN-dem,adj.,"without definite purpose, plan, or aim; haphazard","Although the sponsor of the raffle claimed all winners were chosen at random, people had their suspicions when the grand prize went to the sponsor's brother-in-law.","arbitrary, haphazard, chance","deliberate, systematic, planned","From Old French randon (speed, violence), from randir (to gallop)"
rankle,RANG-kel,v.,irritate; fester,The memory of having been jilted rankled him for years.,"irritate, fester, gall, chafe","soothe, please, gratify","From Middle French draoncle (festering sore), from Latin dracunculus (little serpent)"
rant,RANT,v.,rave; talk excitedly; scold; make a grandiloquent speech,"When he heard that I'd totaled the family car, Dad began to rant at me like a complete madman.","rave, harangue, bluster","whisper, murmur calmly","From Dutch randten (to talk foolishly, rave)"
rapacious,ruh-PAY-shus,adj.,excessively grasping; plundering,Hawks and other rapacious birds prey on a variety of small animals.,"greedy, predatory, voracious, avaricious","generous, altruistic","From Latin rapax (grasping), from rapere (to seize)"
rapport,ra-PAWR,n.,emotional closeness; harmony,"In team teaching, it is important that all teachers in the group have good rapport with one another.","affinity, bond, accord, harmony","discord, antagonism","From French rapporter (to bring back), from Latin reportare"
rapt,RAPT,adj.,absorbed; enchanted,"Caught up in the wonder of the storyteller's tale, the rapt listeners sat motionless, hanging on his every word.","engrossed, enthralled, captivated","indifferent, distracted, bored","From Latin raptus (seized, carried away), past participle of rapere"
rarefied,RAIR-uh-fyd,adj.,made less dense [as a gas],The mountain climbers had difficulty breathing in the rarefied atmosphere.,"thin, refined, exclusive, exalted","dense, thick","From Latin rarus (rare, thin) + facere (to make); rarefy, v.; rarefaction, n."
raspy,RAS-pee,adj.,grating; harsh,The sergeant's raspy voice grated on the recruits' ears.,"hoarse, rough, grating, gravelly","smooth, mellow, dulcet","From rasp (to scrape), from Old French rasper"
ratify,RAT-uh-fy,v.,approve formally; confirm; verify,Party leaders doubted that they had enough votes in both houses of Congress to ratify the constitutional amendment.,"confirm, sanction, endorse, validate","reject, repeal, void","From Latin ratus (fixed, settled) + facere (to make)"
ratiocination,rash-ee-AH-sin-AY-shun,n.,reasoning; act of drawing conclusions from premises,"While Watson was a man of average intelligence, Holmes was a genius, whose gift for ratiocination made him a superb detective.","reasoning, deduction, logic, inference","irrationality, illogic","From Latin ratiocinari (to calculate, reason), from ratio (reckoning)"
rationale,rash-uh-NAL,n.,fundamental reason or justification; grounds for an action,Her need for a vehicle large enough to accommodate five children and a Saint Bernard was Judy's rationale for buying a minivan.,"reasoning, basis, justification, grounds","groundlessness, irrationality","From Latin rationalis (of reason), from ratio (reason)"
rationalize,RASH-uh-nuh-lyz,v.,"give a plausible reason or justification in place of a true, less admirable one; offer an excuse","When David refused gabby Gabrielle a ride to the dance because, he said, he had no room in the car, he was rationalizing.","excuse, justify, explain away","confess, admit the true reason","From rational + -ize, ultimately from Latin ratio; rationalization, n."
raucous,RAW-kus,adj.,harsh and shrill; disorderly and boisterous,The raucous crowd of New Year's Eve revelers grew progressively noisier as midnight drew near.,"noisy, rowdy, strident, boisterous","quiet, subdued, calm",From Latin raucus (hoarse)
ravage,RAV-ij,v.,plunder; despoil,The marauding army ravaged the countryside.,"devastate, pillage, ruin, plunder","restore, preserve, nurture","From French ravager, from ravir (to ravish)"
rave,RAYV,n.,overwhelmingly favorable review,"Though critic John Simon seldom has a good word to say about contemporary plays, his review of All in the Timing was a total rave.","acclaim, glowing review","pan, scathing review","From Old French raver (to rave, be delirious)"
ravel,RAV-el,v.,fall apart into tangles; unravel or untwist; entangle,"A single thread pulled loose, and the entire scarf started to ravel.","fray, unravel, tangle, entangle","mend, weave together","From Dutch ravelen (to tangle, fray)"
ravenous,RAV-uh-nus,adj.,extremely hungry,The ravenous dog upset several garbage pails in its search for food.,"starving, voracious, famished","satiated, full, sated","From Old French ravineus (rapacious), from raviner (to ravage)"
ravine,ruh-VEEN,n.,narrow valley with steep sides,"Steeper than a gully, less precipitous than a canyon, a ravine is, like them, the product of years of erosion.","gorge, gully, chasm, gulch","plain, plateau","From French ravine (violent rush of water), from Latin rapina (plunder)"
raze,RAYZ,v.,destroy completely,Spelling matters: to raise a building is to put it up; to raze a building is to tear it down.,"demolish, level, flatten, obliterate","build, construct, erect","From Old French raser (to scrape, shave), from Latin radere"
reactionary,ree-AK-shuh-ner-ee,adj.,opposing progress; politically ultraconservative,"Opposing the use of English in worship services, reactionary forces in the church fought to reinstate the mass in Latin.","conservative, retrograde, ultraconservative","progressive, radical, liberal","From reaction + -ary, ultimately from Latin re- + agere (to act)"
realm,RELM,n.,kingdom; field or sphere,"In the animal realm, the lion is the king of beasts.","domain, kingdom, sphere, territory",(no direct antonym),"From Old French reaume, from Latin regalis (royal)"
reaper,REE-per,n.,one who harvests grain,"Death, the Grim Reaper, cuts down mortal men and women, just as a farmer cuts down the ripened grain.","harvester, mower","sower, planter",From Old English ripan (to reap)
rebate,REE-bayt,n.,discount,We offer a rebate of ten percent to those who pay cash.,"discount, refund, reduction","surcharge, markup","From Old French rabattre (to beat down), from re- + abattre"
rebuff,ri-BUF,v.,snub; beat back,She rebuffed his invitation so smoothly that he did not realize he had been snubbed.,"reject, spurn, repel, snub","welcome, embrace, accept","From Italian ribuffo (a snub), from ri- + buffo (a puff)"
rebuke,ri-BYOOK,v.,scold harshly; criticize severely,"No matter how sharply Miss Watson rebuked Huck for his misconduct, he never talked back but just stood there like a stump.","reprimand, reproach, admonish, chide","praise, commend, compliment","From Old French rebuker (to repel), from re- + buquer (to strike)"
rebus,REE-bus,n.,puzzle in which pictures stand for words,A coven of witches beside a tree is a possible rebus for the town Coventry.,picture puzzle,(no direct antonym),"From Latin rebus (by things), ablative plural of res (thing)"
rebuttal,ri-BUT-el,n.,refutation; response with contrary evidence,"The defense lawyer confidently listened to the prosecutor sum up his case, sure that she could answer his arguments in her rebuttal.","refutation, counterargument, riposte","concession, agreement","From rebut (to oppose by argument), from Old French reboter (to repel)"
recalcitrant,ri-KAL-si-trant,adj.,obstinately stubborn; determined to resist authority; unruly,"Which animal do you think is more recalcitrant, a pig or a mule?","defiant, obstinate, unruly, headstrong","compliant, obedient, docile","From Latin recalcitrare (to kick back), from re- + calcitrare (to kick)"
recant,ri-KANT,v.,disclaim or disavow; retract a previous statement; openly confess error,"Hoping to make Joan of Arc recant her sworn testimony, her English captors tried to convince her that her visions had been sent to her by the Devil.","retract, renounce, disavow, abjure","affirm, maintain, reassert","From Latin recantare (to recall, recant), from re- + cantare (to sing)"
recapitulate,ree-kuh-PICH-uh-layt,v.,summarize,Let us recapitulate what has been said thus far before going ahead.,"summarize, review, recap, restate","elaborate, expand upon","From Latin recapitulare (to repeat the main points), from re- + capitulum (chapter)"
recast,ree-KAST,v.,"reconstruct (a sentence, story, etc.); fashion again","Let me recast this sentence in terms your feeble brain can grasp: in words of one syllable, you are a fool.","reconstruct, reshape, revise, remold",leave unchanged,From re- + cast
receptive,ri-SEP-tiv,adj.,"quick or willing to receive ideas, suggestions, etc.",Adventure-loving Huck Finn proved a receptive audience for Tom's tales of buried treasure and piracy.,"open-minded, amenable, responsive","resistant, closed-minded, unreceptive","From Latin receptus, past participle of recipere (to receive)"
recession,ri-SESH-en,n.,withdrawal; retreat; time of low economic activity,The slow recession of the flood waters created problems for the crews working to restore power to the area.,"downturn, slump, withdrawal, retreat","boom, expansion, upturn","From Latin recessio, from recedere (to recede)"
recidivism,ri-SID-uh-viz-em,n.,habitual return to crime,Prison reformers in the United States are disturbed by the high rate of recidivism; the number of persons serving second and third terms indicates the failure of the prisons to rehabilitate the inmates.,"relapse, backsliding, reoffending","reform, rehabilitation","From Latin recidivus (falling back), from recidere (to fall back)"
recipient,ri-SIP-ee-ent,n.,receiver,"Although he had been the recipient of many favors, he was not grateful to his benefactor.","beneficiary, receiver, recipient party","donor, giver, benefactor","From Latin recipiens, from recipere (to receive)"
reciprocal,ri-SIP-ruh-kel,adj.,mutual; exchangeable; interacting,The two nations signed a reciprocal trade agreement.,"mutual, shared, complementary, interdependent","one-sided, unilateral","From Latin reciprocus (returning, alternating)"
reciprocate,ri-SIP-ruh-kayt,v.,repay in kind,"If they attack us, we shall be compelled to reciprocate and bomb their territory.","return, requite, repay, retaliate","withhold, fail to return","From Latin reciprocare (to move back and forth); reciprocity, n."
recluse,REK-loos,n.,hermit; loner,"Disappointed in love, Miss Emily became a recluse; she shut herself away in her empty mansion and refused to see another living soul.","hermit, solitary, loner, anchorite","socialite, extrovert","From Latin reclusus, past participle of recludere (to shut away); reclusive, adj."
reconcile,REK-en-syl,v.,correct inconsistencies; become friendly after a quarrel,"Every time we try to reconcile our checkbook with the bank statement, we quarrel. However, despite these monthly lovers' quarrels, we always manage to reconcile.","resolve, harmonize, reunite, settle","estrange, alienate, divide",From Latin reconciliare (to bring together again)
recondite,REK-en-dyt,adj.,abstruse; profound; secret,He read many recondite books in order to obtain the material for his scholarly thesis.,"obscure, esoteric, arcane, abstruse","simple, obvious, accessible","From Latin reconditus (hidden away), from recondere (to hide away)"
reconnaissance,ri-KAH-nuh-sens,n.,survey of enemy by soldiers; reconnoitering,"If you encounter any enemy soldiers during your reconnaissance, capture them for questioning.","surveillance, scouting, exploration",(no direct antonym),"From French reconnaissance (recognition), from reconnaitre (to recognize)"
recrimination,ri-krim-uh-NAY-shen,n.,counter-charges,Loud and angry recriminations were her answer to his accusations.,"counteraccusation, retaliation","apology, concession",From Latin recriminare (to accuse in return)
rectify,REK-tuh-fy,v.,set right; correct,You had better send a check to rectify your account before American Express cancels your credit card.,"correct, remedy, fix, amend","worsen, aggravate, spoil","From Latin rectus (straight, right) + facere (to make)"
rectitude,REK-ti-tood,n.,uprightness; moral virtue; correctness of judgment,The Eagle Scout was a model of rectitude; smugness was the only flaw he needed to correct.,"integrity, righteousness, probity","corruption, dishonesty, depravity","From Latin rectitudo, from rectus (straight, right)"
recumbent,ri-KUM-bent,adj.,reclining; lying down completely or in part,"The command ""AT EASE"" does not permit you to take a recumbent position.","reclining, supine, prone, prostrate","upright, standing, erect",From Latin recumbere (to lie back)
recuperate,ri-KOO-puh-rayt,v.,recover,The doctors were worried because the patient did not recuperate as rapidly as they had expected.,"recover, heal, convalesce, mend","deteriorate, worsen, decline","From Latin recuperare (to get back, regain)"
recurrent,ri-KUR-ent,adj.,occurring again and again,These recurrent attacks disturbed us and we consulted a physician.,"repeated, periodic, recurring","isolated, one-time, singular",From Latin recurrere (to run back)
redolent,RED-el-ent,adj.,fragrant; odorous; suggestive of an odor,"Even though it is February, the air is redolent of spring.","fragrant, aromatic, evocative, suggestive","odorless, scentless","From Latin redolere (to emit a smell), from re- + olere (to smell)"
redoubtable,ri-DOW-tuh-bel,adj.,formidable; causing fear,"During the Cold War period, neighboring countries tried not to offend the Russians because they could be redoubtable foes.","formidable, fearsome, daunting","weak, harmless, feeble",From Old French redoubter (to fear greatly)
redress,ri-DRES,n.,remedy; compensation,Do you mean to tell me that I can get no redress for my injuries?,"remedy, compensation, restitution, amends",injury without remedy,From Old French redrecier (to straighten again)
redundant,ri-DUN-dent,adj.,superfluous; repetitious; excessively wordy,The bottle of wine I brought to Bob's party was certainly redundant: how was I to know Bob owned a winery?,"superfluous, repetitive, excessive, surplus","essential, necessary, concise","From Latin redundare (to overflow); redundancy, n."
reek,REEK,v.,emit (odor),The room reeked with stale tobacco smoke.,"stink, smell strongly",(no direct antonym),"From Old English reocan (to smoke, emit fumes)"
refectory,ri-FEK-tuh-ree,n.,dining hall,"In this huge refectory, we can feed the entire student body at one sitting.","dining hall, cafeteria, mess hall",(no direct antonym),"From Latin refectorium (place of refreshment), from reficere (to restore)"
refraction,ri-FRAK-shen,n.,bending of a ray of light,"When you look at a stick inserted in water, it looks bent because of the refraction of the light by the water.","bending, deflection, deviation",(no direct antonym),"From Latin refractus, from refringere (to break up)"
refractory,ri-FRAK-tuh-ree,adj.,stubborn; unmanageable,The refractory horse was eliminated from the race when he refused to obey the jockey.,"obstinate, unruly, intractable, headstrong","docile, compliant, manageable","From Latin refractarius (stubborn), from refringere (to break up)"
refrain,ri-FRAYN,v.,abstain from; resist (also n. chorus),"Whenever he heard a song with a lively chorus, Sol could never refrain from joining in on the refrain.","abstain, forbear, hold back","indulge, give in","From Old French refrener (to curb), from Latin refrenare (to bridle)"
refulgent,ri-FUL-jent,adj.,brightly shining; gleaming,The squire polished the knight's armor until it gleamed in the light like the refulgent moon.,"radiant, resplendent, gleaming, luminous","dull, dim, lusterless","From Latin refulgere (to flash back, shine brightly)"
refurbish,ri-FUR-bish,v.,renovate; make bright by polishing,The flood left a deposit of mud on everything; it was necessary to refurbish our belongings.,"renovate, restore, revamp, refresh","neglect, degrade, run down","From re- + furbish, from Old French forbir (to polish)"
refute,ri-FYOOT,v.,disprove,The defense called several respectable witnesses who were able to refute the false testimony of the prosecution's only witness.,"disprove, rebut, contradict, debunk","confirm, prove, corroborate","From Latin refutare (to drive back, rebut); refutation, n."
regal,REE-gel,adj.,royal,Prince Albert had a regal manner.,"royal, majestic, kingly, sovereign","common, plebeian, lowly","From Latin regalis (royal), from rex (king)"
regale,ri-GAYL,v.,entertain,John regaled us with tales of his adventures in Africa.,"entertain, amuse, delight, divert",bore,From French regaler (to entertain lavishly)
regatta,ri-GAH-tuh,n.,boat or yacht race,Many boating enthusiasts followed the regatta in their own yachts.,"boat race, yacht race",(no direct antonym),From Italian (Venetian) regatta (contest)
regeneration,ri-jen-uh-RAY-shen,n.,spiritual rebirth,Modern penologists strive for the regeneration of the prisoners.,"renewal, rebirth, restoration, revival","degeneration, decline","From Latin regeneratio, from regenerare (to bring forth again)"
regicide,REJ-uh-syd,n.,murder of a king or queen,The beheading of Mary Queen of Scots was an act of regicide.,"monarch-killing, royal assassination",(no direct antonym),From Latin rex (king) + -cidium (killing)
regime,ri-ZHEEM,n.,method or system of government,"When a Frenchman mentions the Old Regime, he refers to the government existing before the revolution.","government, administration, rule, system",(no direct antonym),"From French regime, from Latin regimen (rule)"
regimen,REJ-uh-men,n.,prescribed diet and habits,I doubt whether the results warrant our living under such a strict regimen.,"routine, program, regime, schedule",(no direct antonym),"From Latin regimen (rule, guidance), from regere (to rule)"
rehabilitate,ree-huh-BIL-i-tayt,v.,restore to proper condition,We must rehabilitate those whom we send to prison.,"restore, reform, renovate, reinstate","ruin, deteriorate",From Latin re- + habilitare (to make fit)
reimburse,ree-im-BURS,v.,repay,Let me know what you have spent and I will reimburse you.,"repay, refund, compensate, recompense","charge, withhold payment","From re- + imburse (to put into a purse), from Latin in + bursa"
reiterate,ree-IT-uh-rayt,v.,repeat,She reiterated the warning to make sure everyone understood it.,"repeat, restate, recapitulate, reaffirm","retract, withdraw","From Latin reiterare (to repeat), from re- + iterare (to repeat)"
rejoinder,ri-JOIN-der,n.,retort; comeback; reply,"When someone has been rude to me, I find it particularly satisfying to come up with a quick rejoinder.","retort, riposte, response, comeback",(no direct antonym),From Old French rejoindre (to answer again)
rejuvenate,ri-JOO-vuh-nayt,v.,make young again,The charlatan claimed that his elixir would rejuvenate the aged and weary.,"revitalize, renew, refresh, reinvigorate","age, weary, exhaust",From re- + Latin juvenis (young)
relegate,REL-uh-gayt,v.,banish to an inferior position; delegate; assign,"After Ralph dropped his second tray of drinks that week, the manager swiftly relegated him to a minor post cleaning up behind the bar.","demote, downgrade, banish, consign","promote, elevate",From Latin relegare (to send away)
relent,ri-LENT,v.,give in,"When her stern father would not relent and allow her to marry Robert Browning, Elizabeth Barrett eloped with her suitor.","yield, soften, capitulate, relax","persist, resist, hold firm","From re- + Latin lentus (slow, pliant); relentless, adj."
relevant,REL-uh-vent,adj.,pertinent; referring to the case in hand,Teri was impressed by how relevant Virginia Woolf's remarks were to her as a woman writer; it was as if Woolf had been writing with Teri's situation in mind.,"pertinent, applicable, germane, apt","irrelevant, unrelated, immaterial","From Latin relevans, from relevare (to raise up); relevance, n."
relic,REL-ik,n.,surviving remnant; memento,Egypt's Department of Antiquities prohibits tourists from taking mummies and other ancient relics out of the country.,"artifact, remnant, memento, vestige",(no direct antonym),"From Latin reliquiae (remains), from relinquere (to leave behind)"
relinquish,ri-LING-kwish,v.,give up something with reluctance; yield,"Once you get used to fringe benefits like expense-account meals and a company car, it's very hard to relinquish them.","surrender, abandon, forgo, cede","retain, keep, hold onto",From Latin relinquere (to leave behind)
relish,REL-ish,v.,savor; enjoy,"Watching Peter enthusiastically chow down, I thought, ""Now there's a man who relishes a good dinner!""","savor, enjoy, delight in, appreciate","dislike, abhor, loathe","From Old French relais (something remaining), related to relayer"
remediable,ri-MEE-dee-uh-bel,adj.,reparable,Let us be grateful that the damage is remediable.,"fixable, curable, correctable, reparable","irreparable, hopeless, incurable","From Latin remediare (to heal), from remedium (remedy)"
reminiscence,rem-uh-NIS-ens,n.,recollection,Her reminiscences of her experiences are so fascinating that she ought to write a book.,"recollection, memory, remembrance",(no direct antonym),From Latin reminisci (to remember)
remiss,ri-MIS,adj.,negligent,"When the prisoner escaped, the guard was accused of being remiss in his duty.","negligent, careless, lax, derelict","diligent, careful, conscientious","From Latin remissus, past participle of remittere (to slacken)"
remission,ri-MISH-en,n.,temporary moderation of disease symptoms; cancellation of a debt; forgiveness or pardon,"Though Senator Tsongas had been treated for cancer, his symptoms were in remission, and he was considered fit to handle the strains of a presidential race.","abatement, respite, pardon, reprieve","relapse, recurrence","From Latin remissio, from remittere (to send back, slacken)"
remnant,REM-nent,n.,remainder,I suggest that you wait until the store places the remnants of these goods on sale.,"remainder, residue, leftover, vestige","whole, entirety",From Old French remenant (remaining)
remonstrance,ri-MAHN-strens,n.,protest; objection,The authorities were deaf to the pastor's remonstrances about the lack of police protection in the area.,"protest, objection, complaint, dissent","approval, agreement, acquiescence","From Latin remonstrare (to point out, demonstrate); remonstrate, v."
remorse,ri-MAWRS,n.,guilt; self-reproach,The murderer felt no remorse for his crime.,"guilt, regret, contrition, penitence","pride, satisfaction (in wrongdoing)","From Latin remorsus, from remordere (to bite again)"
remunerative,ri-MYOO-nuh-ruh-tiv,adj.,compensating; rewarding,I find my new work so remunerative that I may not return to my previous employment.,"profitable, lucrative, gainful, paying","unprofitable, costly, thankless","From Latin remunerare (to reward), from re- + munus (gift); remuneration, n."
rend,REND,v.,split; tear apart,"In his grief, he tried to rend his garments.","tear, rip, sever, sunder","mend, join, repair",From Old English rendan (to tear)
render,REN-der,v.,deliver; provide; represent,He rendered aid to the needy and indigent.,"provide, give, depict, deliver",withhold,"From Old French rendre (to give back), from Latin reddere"
rendezvous,REN-day-voo,n.,meeting place,The two fleets met at the rendezvous at the appointed time.,"meeting place, gathering spot, venue",(no direct antonym),"From French rendez-vous (present yourselves), imperative of se rendre"
rendition,ren-DISH-en,n.,translation; artistic interpretation,The audience cheered enthusiastically as she completed her rendition of the aria.,"interpretation, performance, version, rendering",(no direct antonym),"From Old French rendition, from rendre (to render)"
renegade,REN-uh-gayd,n.,deserter; traitor,"Because he had abandoned his post and joined forces with the Indians, his fellow officers considered the hero of Dances with Wolves a renegade.","defector, traitor, deserter, turncoat","loyalist, devotee","From Spanish renegado, from Latin renegare (to deny)"
renege,ri-NIG,v.,deny; go back on,He reneged on paying off his debt.,"default, backtrack, welch, back out","fulfill, honor (a commitment)",From Latin renegare (to deny)
renounce,ri-NOWNS,v.,abandon; disown; repudiate,"Even though she knew she would be burned at the stake as a witch, Joan of Arc refused to renounce her belief that her voices came from God.","relinquish, disown, forsake, abjure","embrace, claim, espouse","From Latin renuntiare (to protest, refuse); renunciation, n."
renovate,REN-uh-vayt,v.,restore to good condition; renew,They claim that they can renovate worn shoes so that they look like new ones.,"restore, refurbish, revamp, modernize","dilapidate, ruin, neglect",From Latin renovare (to make new again)
