Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
detrimental,det-rih-MEN-tul,Adjective,Harmful; damaging,The candidate's acceptance of major financial contributions from a well-known racist ultimately proved detrimental to his campaign.,"harmful, damaging, injurious","beneficial, helpful, advantageous","Latin detrimentum 'damage, loss'"
deviate,DEE-vee-ayt,Verb,"Turn away from (a principle, norm); depart; diverge",Richard never deviated from his daily routine.,"diverge, depart, stray","conform, follow, adhere",Latin deviare 'to go off the road'
devious,DEE-vee-us,Adjective,Roundabout; erratic; not straightforward,The Joker's plan was so devious that it was only with great difficulty we could follow its shifts and dodges.,"crafty, cunning, scheming","straightforward, honest, direct",Latin devius 'off the road'
devise,deh-VYZ,Verb,Think up; invent; plan,How clever he must be to have devised such a diabolical plan!,"invent, plan, contrive","copy, destroy, dismantle","Old French deviser 'to divide, distribute'"
devoid,deh-VOYD,Adjective,Lacking,"You may think Cher's mind is a total void, but she's actually not devoid of intelligence.","lacking, without, empty","full of, replete, abundant",Old French desvuidier 'to empty out'
devolve,deh-VOLV,Verb,Deputize; pass to others,"It devolved upon us, the survivors, to arrange peace terms with the enemy.","transfer, delegate, pass on","retain, assume, take on",Latin devolvere 'to roll down'
devotee,dev-oh-TEE,Noun,Enthusiastic follower,"A devotee of the opera, she bought season tickets every year.","enthusiast, fan, aficionado","critic, detractor, opponent",French dévoté 'devoted'
devout,deh-VOWT,Adjective,Pious,The devout man prayed daily.,"pious, religious, reverent","irreverent, irreligious, impious",Latin devotus 'devoted'
dexterous,DEK-ster-us,Adjective,Skillful,The magician was so dexterous that we could not follow his movements as he performed his tricks.,"skillful, adroit, nimble","clumsy, inept, awkward",Latin dexter 'right hand'
diabolical,dy-ah-BOL-ih-kul,Adjective,Devilish,"What a fiend I am, to devise such a diabolical scheme to destroy Gotham City,' chortled the Joker.","devilish, fiendish, evil","angelic, benevolent, kind",Greek diabolos 'devil'
diadem,DY-ah-dem,Noun,Crown,The king's diadem was on display at the museum.,"crown, tiara, coronet",N/A,Greek diadema 'royal headband'
dialectical,dy-ah-LEK-tih-kul,Adjective,Relating to the art of debate; mutual or reciprocal,The debate coach's students grew to develop great forensic and dialectical skill.,"logical, argumentative, analytical","illogical, irrational","Greek dialektikos, from dialegesthai 'to converse'"
diaphanous,dy-AF-uh-nus,Adjective,Sheer; transparent,They saw the burglar clearly through the diaphanous curtain.,"transparent, sheer, translucent","opaque, thick, cloudy","Greek diaphanes, from dia- 'through' + phainein 'to show'"
diatribe,DY-ah-tryb,Noun,Bitter scolding; invective,During the lengthy diatribe delivered by his opponent he remained calm and self-controlled.,"tirade, harangue, invective","praise, eulogy, commendation","Greek diatribe 'pastime, lecture'"
dichotomy,dy-KOT-oh-mee,Noun,Split; branching into two parts (especially contradictory ones),Willie didn't know how to resolve the dichotomy between his ambition to go to college and his childhood longing to run away and join the circus.,"division, split, polarity","unity, agreement, harmony","Greek dichotomia, from dicha 'in two' + temnein 'to cut'"
dictum,DIK-tum,Noun,Authoritative and weighty statement; saying; maxim,University administrations still follow the old dictum 'Publish or perish.',"maxim, saying, axiom",N/A,Latin dictum 'something said'
didactic,dy-DAK-tik,Adjective,Teaching; instructional,Pope's lengthy poem An Essay on Man is too didactic for my taste: I dislike it when poets turn preachy and moralize.,"instructive, educational, pedantic","entertaining, uninstructive","Greek didaktikos, from didaskein 'to teach'"
die,DY,Noun,Device for stamping or impressing; mold,"In coining pennies, workers at the old mint squeezed sheets of softened copper between two dies.","mold, stamp, tool",N/A,Old French de 'die'
diffidence,DIF-ih-dens,Noun,Shyness,You must overcome your diffidence if you intend to become a salesperson.,"shyness, timidity, reticence","confidence, boldness, assertiveness","Latin diffidentia, from diffidere 'to mistrust'"
diffuse,dih-FYOOS,Adjective,Wordy; rambling; spread out (like a gas),"If you pay authors by the word, you tempt them to produce diffuse manuscripts rather than brief ones.","wordy, rambling, verbose","concise, brief, terse","Latin diffusus, from diffundere 'to pour in all directions'"
digression,dy-GRESH-un,Noun,Wandering away from the subject,Nobody minded when Professor Renoir's lectures wandered away from their official theme; his digressions were always more fascinating than the topic of the day.,"tangent, deviation, departure","focus, relevance, directness","Latin digressio, from digredi 'to go aside'"
dilapidated,dih-LAP-ih-day-ted,Adjective,Ruined because of neglect,The dilapidated old building needed far more work than just a new coat of paint.,"decrepit, rundown, crumbling","new, renovated, pristine","Latin dilapidare 'to squander, scatter like stones'"
dilate,DY-layt,Verb,Expand,"In the dark, the pupils of your eyes dilate.","expand, widen, enlarge","contract, shrink, narrow",Latin dilatare 'to spread out'
dilatory,DIL-uh-tor-ee,Adjective,Delaying,Your dilatory tactics may compel me to cancel the contract.,"delaying, slow, tardy","prompt, hasty, punctual","Latin dilatorius, from differre 'to put off'"
dilemma,dih-LEM-uh,Noun,Problem; choice of two unsatisfactory alternatives,"In this dilemma, he knew no one to whom he could turn for advice.","predicament, quandary, plight","solution, certainty, advantage","Greek dilemma, from di- 'twice' + lemma 'premise'"
dilettante,dil-eh-TANT,Noun,Aimless follower of the arts; amateur; dabbler,He was not serious in his painting; he was rather a dilettante.,"dabbler, amateur, layman","expert, professional, specialist","Italian dilettante, from dilettare 'to delight'"
diligence,DIL-ih-jens,Noun,Steadiness of effort; persistent hard work,Her employers were greatly impressed by her diligence and offered her a partnership in the firm.,"perseverance, industry, assiduity","laziness, negligence, idleness","Latin diligentia, from diligere 'to esteem highly'"
dilute,dih-LOOT,Verb,Make less concentrated; reduce in strength,She preferred her coffee diluted with milk.,"weaken, thin, water down","concentrate, strengthen, intensify",Latin diluere 'to wash away'
diminution,dim-ih-NYOO-shun,Noun,Lessening; reduction in size,Old Jack was as sharp at eighty as he had been at fifty; increasing age led to no diminution of his mental acuity.,"reduction, decrease, lessening","increase, growth, expansion","Latin diminutio, from diminuere 'to lessen'"
din,DIN,Noun,Continued loud noise,The din of the jackhammers outside the classroom window drowned out the lecturer's voice.,"noise, clamor, racket","silence, quiet, calm",Old English dyne 'loud noise'
dinghy,DING-ee,Noun,Small boat (often ship's boat),An ill-assorted group of passengers from a sunken ocean liner are marooned at sea in a dinghy.,"rowboat, skiff, small boat","ship, vessel, liner",Hindi dingi 'small boat'
dingy,DIN-jee,Adjective,Dull; not fresh; cheerless,"Refusing to be depressed by her dingy studio apartment, Bea spent the weekend polishing the floors and windows.","dull, drab, gloomy","bright, cheerful, fresh","Unknown origin, possibly related to dung"
dint,DINT,Noun,Means; effort,"By dint of much hard work, the volunteers were able to control the raging forest fire.","means, force, effort",N/A,"Old English dynt 'blow, stroke'"
diorama,dy-oh-RAH-muh,Noun,"Life-size, three-dimensional scene from nature or history","Because they dramatically pose actual stuffed animals against realistic painted landscapes, the dioramas at the Museum of Natural History particularly impress high school biology students.","scene, exhibit, tableau",N/A,Greek dia- 'through' + horama 'sight'
dire,DY-ur,Adjective,Disastrous,People ignored her dire predictions of an approaching depression.,"disastrous, dreadful, terrible","mild, trivial, harmless","Latin dirus 'fearful, ominous'"
dirge,DURJ,Noun,Lament with music,The funeral dirge stirred us to tears.,"lament, elegy, requiem","celebration, anthem, paean",Latin dirige 'direct' (opening word of the Office of the Dead)
disabuse,dis-uh-BYOOZ,Verb,Correct a false impression; undeceive,I will attempt to disabuse you of your impression of my client's guilt; I know he is innocent.,"enlighten, undeceive, correct","mislead, deceive, confuse",dis- + abuse
disaffected,dis-ah-FEK-ted,Adjective,Disloyal,"Once the most loyal of Gorbachev's supporters, Sheverdnaze found himself becoming increasingly disaffected.","disloyal, estranged, alienated","loyal, faithful, devoted",dis- + affected
disapprobation,dis-ap-roh-BAY-shun,Noun,Disapproval; condemnation,The conservative father viewed his daughter's radical boyfriend with disapprobation.,"disapproval, condemnation, censure","approval, praise, endorsement",dis- + approbation
disarray,dis-ah-RAY,Noun,A disorderly or untidy state,"After the New Year's party, the once orderly house was in total disarray.","disorder, chaos, confusion","order, tidiness, arrangement",dis- + array
disavowal,dis-ah-VOW-ul,Noun,Denial; disclaiming,His disavowal of his part in the conspiracy was not believed by the jury.,"denial, disclaimer, repudiation","acknowledgment, admission, avowal",dis- + avowal
disband,dis-BAND,Verb,Dissolve; disperse,The chess club disbanded after its disastrous initial season.,"dissolve, disperse, scatter","form, organize, assemble",dis- + band
disburse,dis-BURS,Verb,Pay out,"When you disburse money on the company's behalf, be sure to get a receipt.","pay out, expend, distribute","receive, collect, withhold",Old French desbourser 'to pay out'
discernible,dih-SUR-nih-bul,Adjective,Distinguishable; perceivable,The ships in the harbor were not discernible in the fog.,"perceivable, visible, distinguishable","imperceptible, invisible, indistinct","Latin discernere 'to separate, distinguish'"
discerning,dih-SUR-ning,Adjective,Mentally quick and observant; having insight,"Though no genius, the star was sufficiently discerning to distinguish her true friends from the countless phonies who flattered her.","perceptive, insightful, astute","undiscerning, obtuse, unperceptive",Latin discernere 'to distinguish'
disclaim,dis-KLAYM,Verb,Disown; renounce claim to,"If I grant you this privilege, will you disclaim all other rights?","disown, renounce, deny","claim, assert, acknowledge",dis- + claim
disclose,dis-KLOHZ,Verb,Reveal,"Although competitors offered him bribes, he refused to disclose any information about his company's forthcoming product.","reveal, divulge, expose","conceal, hide, withhold",dis- + close
discombobulated,dis-kom-BOB-yoo-lay-ted,Adjective,Confused; discomposed,The novice square dancer became so discombobulated that he wandered into the wrong set.,"confused, flustered, disoriented","composed, calm, collected","Invented American slang, 19th century"
discomfit,dis-KUM-fit,Verb,Put to rout; defeat; disconcert,This ruse will discomfit the enemy.,"defeat, disconcert, frustrate","encourage, help, hearten",Old French desconfit 'defeated'
disconcert,dis-kon-SURT,Verb,Confuse; upset; embarrass,The lawyer was disconcerted by the evidence produced by her adversary.,"confuse, upset, unsettle","reassure, calm, encourage",dis- + concert
disconsolate,dis-KON-soh-lit,Adjective,Sad,The death of his wife left him disconsolate.,"sad, forlorn, dejected","happy, cheerful, comforted",Latin disconsolatus 'not consoled'
discord,DIS-kord,Noun,Conflict; lack of harmony,"Watching Tweedledum battle Tweedledee, Alice wondered what had caused this pointless discord.","conflict, strife, disagreement","harmony, agreement, peace","Latin discordia, from discors 'disagreeing'"
discordant,dis-KOR-dent,Adjective,Not harmonious; conflicting,Nothing is quite so discordant as the sound of a junior high school orchestra tuning up.,"inharmonious, clashing, jarring","harmonious, melodious, agreeable","Latin discordans, from discordare 'to disagree'"
discount,dis-KOWNT,Verb,Disregard,Be prepared to discount what he has to say about his ex-wife.,"disregard, ignore, dismiss","heed, consider, accept",Old French descompter 'to deduct'
discourse,DIS-kors,Noun,Formal discussion; conversation,The young Plato was drawn to the Agora to hear the philosophical discourse of Socrates and his followers.,"discussion, conversation, lecture","silence, small talk",Latin discursus 'running about'
discredit,dis-KRED-it,Verb,Defame; destroy confidence in; disbelieve,The campaign was highly negative in tone; each candidate tried to discredit the other.,"defame, discredit, undermine","trust, believe, credit",dis- + credit
discrepancy,dis-KREP-un-see,Noun,Lack of consistency; difference,The police noticed some discrepancies in his description of the crime and did not believe him.,"inconsistency, difference, disparity","consistency, agreement, uniformity","Latin discrepantia, from discrepare 'to sound different'"
discrete,dis-KREET,Adjective,Separate; unconnected,The universe is composed of discrete bodies.,"separate, distinct, individual","connected, unified, continuous",Latin discretus 'separated'
discretion,dis-KRESH-un,Noun,Prudence; ability to adjust actions to circumstances,Use your discretion in this matter and do not discuss it with anyone.,"prudence, judgment, tact","indiscretion, rashness, recklessness","Latin discretio 'separation, discernment'"
discriminating,dis-KRIM-ih-nay-ting,Adjective,Able to see differences; prejudiced,"A superb interpreter of Picasso, she was sufficiently discriminating to judge the most complex works of modern art.","discerning, perceptive, selective","undiscriminating, indiscriminate","Latin discriminare 'to divide, separate'"
discursive,dis-KUR-siv,Adjective,Digressing; rambling,"As the lecturer wandered from topic to topic, we wondered what if any point there was to his discursive remarks.","rambling, digressive, wandering","focused, direct, concise",Latin discursus 'running about'
disdain,dis-DAYN,Verb,View with scorn or contempt,"In the film Funny Face, the bookish heroine disdained fashion models for their lack of intellectual interests.","scorn, despise, look down on","admire, respect, esteem",Old French desdaignier 'to scorn'
disembark,dis-em-BARK,Verb,Go ashore; unload cargo from a ship,"Before the passengers could disembark, they had to pick up their passports from the ship's purser.","land, debark, go ashore","embark, board, load",dis- + embark
disenfranchise,dis-en-FRAN-chyz,Verb,Deprive of a civil right,"The imposition of the poll tax effectively disenfranchised poor Southern blacks, who lost their right to vote.","deprive, disqualify, strip rights","enfranchise, empower, grant rights",dis- + enfranchise
disengage,dis-en-GAYJ,Verb,Uncouple; separate; disconnect,A standard movie routine involves the hero's desperate attempt to disengage a railroad car from a moving train.,"disconnect, detach, separate","connect, engage, attach",dis- + engage
disfigure,dis-FIG-yur,Verb,Mar the appearance of; spoil,An ugly frown disfigured her normally pleasant face.,"mar, deface, blemish","beautify, adorn, enhance",dis- + figure
disgorge,dis-GORJ,Verb,Surrender something; eject; vomit,"Unwilling to disgorge the cash he had stolen from the pension fund, the embezzler tried to run away.","surrender, eject, expel","swallow, retain, keep",dis- + gorge
disgruntle,dis-GRUN-tul,Verb,Make discontented,The passengers were disgruntled by the numerous delays.,"dissatisfy, displease, irritate","please, satisfy, content",dis- + gruntle (to grumble)
dishearten,dis-HAR-ten,Verb,Discourage,His failure to pass the bar exam disheartened him.,"discourage, demoralize, dispirit","encourage, hearten, inspire",dis- + hearten
disheveled,dih-SHEV-uld,Adjective,Untidy,Your disheveled appearance will hurt your chances in this interview.,"untidy, unkempt, messy","neat, tidy, groomed",Old French descheveler 'to disarrange the hair'
disinclination,dis-in-klin-AY-shun,Noun,Unwillingness,Some mornings I feel a great disinclination to get out of bed.,"unwillingness, reluctance, aversion","willingness, eagerness, inclination",dis- + inclination
disingenuous,dis-in-JEN-yoo-us,Adjective,Not naive; sophisticated,"Although he was young, his remarks indicated that he was disingenuous.","insincere, calculating, artful","naive, sincere, candid",dis- + ingenuous
disinter,dis-in-TUR,Verb,Dig up; unearth,They disinterred the body and held an autopsy.,"exhume, unearth, dig up","bury, inter, entomb",dis- + inter
disinterested,dis-IN-ter-es-ted,Adjective,Unprejudiced,"Given the judge's political ambitions and the lawyers' financial interest in the case, the only disinterested person in the courtroom may have been the court reporter.","impartial, unbiased, neutral","partial, biased, interested",dis- + interested
disjointed,dis-JOYN-ted,Adjective,Disconnected,His remarks were so disjointed that we could not follow his reasoning.,"disconnected, incoherent, jumbled","coherent, connected, logical",dis- + jointed
disjunction,dis-JUNK-shun,Noun,Act or state of separation; disunity,"Believing the mind could greatly affect the body's health, the holistic doctor rejected the notion of a necessary disjunction of mind and body.","separation, division, disunity","union, connection, unity","Latin disjunctio, from disjungere 'to unyoke'"
dislodge,dis-LOJ,Verb,Remove (forcibly),"Thrusting her fist up under the choking man's lower ribs, Margaret used the Heimlich maneuver to dislodge the food caught in his throat.","remove, dislodge, displace","lodge, fix, embed",dis- + lodge
dismantle,dis-MAN-tul,Verb,Take apart,"When the show closed, they dismantled the scenery before storing it.","disassemble, take apart, demolish","assemble, build, construct",Old French desmanteler 'to remove a cloak'
dismember,dis-MEM-ber,Verb,Cut into small parts,"When the Austrian Empire was dismembered, several new countries were established.","cut up, divide, sever","unite, join, assemble",dis- + member
dismiss,dis-MIS,Verb,Eliminate from consideration; reject,"Believing in John's love for her, she dismissed the notion that he might be unfaithful.","reject, disregard, eliminate","consider, accept, entertain",Latin dimittere 'to send away'
disparage,dis-PAR-ij,Verb,Belittle,"A doting mother, Emma was more likely to praise her son's crude attempts at art than to disparage them.","belittle, deprecate, denigrate","praise, laud, extol",Old French desparagier 'to marry unequally'
disparate,DIS-puh-rit,Adjective,Basically different; unrelated,"Unfortunately, Tony and Tina have disparate notions of marriage.","different, unrelated, contrasting","similar, alike, comparable",Latin disparatus 'separated'
disparity,dis-PAR-ih-tee,Noun,Difference; condition of inequality,Their disparity in rank made no difference at all to the prince and Cinderella.,"inequality, difference, gap","equality, similarity, parity","Latin disparitas, from dispar 'unequal'"
dispassionate,dis-PASH-un-it,Adjective,Calm; impartial,"Known in the company for his cool judgment, Bill could impartially examine the causes of a problem.","impartial, calm, unbiased","partial, biased, emotional",dis- + passionate
dispatch,dis-PACH,Noun,Speediness; prompt execution; message sent with all due speed,Young Napoleon defeated the enemy with all possible dispatch.,"speed, promptness, haste","delay, tardiness, slowness",Spanish despachar 'to expedite'
dispel,dis-PEL,Verb,Scatter; drive away; cause to vanish,The bright sunlight eventually dispelled the morning mist.,"scatter, dissipate, drive away","gather, accumulate, summon",Latin dispellere 'to drive apart'
disperse,dis-PURS,Verb,Scatter,The police fired tear gas into the crowd to disperse the protesters.,"scatter, spread, disseminate","gather, concentrate, assemble","Latin dispersus, from dispergere 'to scatter'"
dispirited,dis-SPIR-ih-ted,Adjective,Lacking in spirit,"The coach used all the tricks at his command to buoy up the enthusiasm of his team, which had become dispirited at the loss of the star player.","dejected, downcast, demoralized","spirited, enthusiastic, motivated",dis- + spirited
disport,dis-PORT,Verb,Amuse,"Each year, thousands more disport themselves at Miami and Palm Beach.","amuse, entertain, recreate","bore, sadden, work",Old French se desporter 'to carry oneself away'
disputatious,dis-pyoo-TAY-shus,Adjective,Argumentative; fond of arguing,"Convinced he knew more than his lawyers, Tony was a disputatious client.","argumentative, contentious, quarrelsome","agreeable, peaceful, conciliatory",Latin disputare 'to argue'
disquietude,dis-KWY-eh-tood,Noun,Uneasiness; anxiety,"When Holmes had been gone for a day, Watson felt only a slight sense of disquietude.","unease, anxiety, apprehension","calm, peace, contentment",dis- + quietude
disquisition,dis-kwih-ZIH-shun,Noun,A formal systematic inquiry; an explanation of the results of a formal inquiry,"In his disquisition, he outlined the steps he had taken in reaching his conclusions.","inquiry, investigation, treatise",N/A,"Latin disquisitio, from disquirere 'to investigate'"
dissection,dih-SEK-shun,Noun,Analysis; cutting apart in order to examine,The dissection of frogs in the laboratory is particularly unpleasant to some students.,"analysis, examination, cutting apart","synthesis, assembly","Latin dissectio, from dissecare 'to cut apart'"
dissemble,dih-SEM-bul,Verb,Disguise; pretend,"Even though John tried to dissemble his motive for taking modern dance, we all knew he was there not to dance but to meet girls.","disguise, conceal, pretend","reveal, disclose, expose",dis- + semble (to resemble)
disseminate,dih-SEM-ih-nayt,Verb,Distribute; spread; scatter (like seeds),"By their use of the Internet, propagandists have been able to disseminate their pet doctrines to new audiences around the globe.","spread, distribute, propagate","suppress, withhold, conceal",Latin disseminare 'to sow seeds'
dissent,dih-SENT,Verb,Disagree,"In the recent Supreme Court decision, Justice O'Connor dissented from the majority opinion.","disagree, oppose, object","agree, concur, assent",Latin dissentire 'to differ in feeling'
dissertation,dis-er-TAY-shun,Noun,Formal essay,"In order to earn a graduate degree from many of our universities, a candidate is frequently required to prepare a dissertation on some scholarly subject.","thesis, treatise, essay",N/A,"Latin dissertatio, from dissertare 'to debate'"
dissident,DIS-ih-dent,Adjective,Dissenting; rebellious,"In the purge that followed the student demonstrations at Tianamen Square, the government hunted down the dissident students.","dissenting, rebellious, nonconformist","conformist, compliant, orthodox","Latin dissidentem, from dissidere 'to disagree'"
dissimulate,dih-SIM-yoo-layt,Verb,Pretend; conceal by feigning,She tried to dissimulate her grief by her exuberant attitude.,"feign, pretend, disguise","reveal, expose, show",Latin dissimulare 'to conceal'
dissipate,DIS-ih-payt,Verb,Squander; waste; scatter,"He is a fine artist, but I fear he may dissipate his gifts if he keeps wasting his time playing Trivial Pursuit.","squander, waste, scatter","conserve, save, gather",Latin dissipare 'to scatter'
dissolution,dis-oh-LOO-shun,Noun,Disintegration; looseness in morals,The profligacy and dissolution of life in Caligula's Rome appall some historians.,"disintegration, decomposition, immorality","integrity, morality, formation","Latin dissolutio, from dissolvere 'to loosen'"
dissonance,DIS-oh-nans,Noun,Discord; opposite of harmony,Composer Charles Ives often used dissonance — clashing or unresolved chords — for special effects in his musical works.,"discord, cacophony, inharmony","harmony, consonance, accord","Latin dissonantia, from dissonare 'to disagree in sound'"
dissuade,dih-SWAYD,Verb,Persuade not to do; discourage,"Since Tom could not dissuade Huck from running away from home, he decided to run away with his friend.","discourage, deter, advise against","persuade, encourage, urge",Latin dissuadere 'to advise against'
distant,DIS-tent,Adjective,Reserved or aloof; cold in manner (secondary meaning),Her distant greeting made me feel unwelcome from the start.,"reserved, aloof, cold","warm, friendly, approachable","Latin distantem, from distare 'to stand apart'"
distend,dis-TEND,Verb,Expand; swell out,I can tell when he is under stress by the way the veins distend on his forehead.,"expand, swell, inflate","contract, shrink, deflate",Latin distendere 'to stretch out'
distill,dis-TIL,Verb,Purify; refine; concentrate,A moonshiner distills mash into whiskey; an epigrammatist distills thoughts into quips.,"purify, refine, extract","dilute, contaminate, mix",Latin distillare 'to drip down'
distinction,dis-TINK-shun,Noun,Honor; contrast; discrimination,"A holder of the Medal of Honor, George served with great distinction in World War II.","honor, excellence, difference","mediocrity, similarity, insignificance","Latin distinctio, from distinguere 'to separate'"
distort,dis-TORT,Verb,Twist out of shape,It is difficult to believe the newspaper accounts of the riots because of the way some reporters distort and exaggerate the actual events.,"twist, warp, misrepresent","straighten, clarify, correct",Latin distorquere 'to twist apart'
distrait,dis-TRAY,Adjective,Absentminded,"Because of his concentration on the problem, the professor often appeared distrait and unconcerned about routine.","absentminded, inattentive, preoccupied","attentive, focused, alert","French distrait, from distraire 'to distract'"
distraught,dis-TRAWT,Adjective,Upset; distracted by anxiety,The distraught parents frantically searched the ravine for their lost child.,"distressed, frantic, anguished","calm, composed, serene","Middle English, variant of distract"
diurnal,dy-UR-nul,Adjective,Daily,"A farmer cannot neglect his diurnal tasks at any time; cows, for example, must be milked regularly.","daily, everyday, quotidian","nocturnal, nightly, rare","Latin diurnalis, from dies 'day'"
diva,DEE-vuh,Noun,Operatic singer; prima donna,"Although world famous as a diva, she did not indulge in fits of temperament.","prima donna, opera singer, star","amateur, novice",Italian diva 'goddess'
diverge,dih-VURJ,Verb,Vary; go in different directions from the same point,The spokes of the wheel diverge from the hub.,"separate, branch, deviate","converge, meet, join",Latin divergere 'to bend apart'
diverse,dih-VURS,Adjective,Differing in some characteristics; various,The professor suggested diverse ways of approaching the assignment.,"varied, different, assorted","uniform, similar, homogeneous",Latin diversus 'turned in different directions'
diversion,dih-VUR-zhun,Noun,Act of turning aside; pastime,"After studying for several hours, he needed a diversion from work.","pastime, distraction, entertainment","focus, work, continuation","Latin diversio, from divertere 'to turn aside'"
diversity,dih-VUR-sih-tee,Noun,Variety; dissimilitude,The diversity of colleges in this country indicates that many levels of ability are being served.,"variety, range, assortment","uniformity, sameness, homogeneity","Latin diversitas, from diversus 'different'"
divest,dih-VEST,Verb,Strip; deprive,He was divested of his power to act and could no longer govern.,"strip, deprive, dispossess","invest, endow, clothe",dis- + vest
divine,dih-VYN,Verb,Perceive intuitively; foresee the future,Nothing infuriated Tom more than Aunt Polly's ability to divine when he was not telling the truth.,"foresee, perceive, intuit","miss, overlook, ignore",Latin divinare 'to foretell'
divulge,dih-VULJ,Verb,Reveal,"No lover of gossip, Charlotte would never divulge anything that a friend told her in confidence.","reveal, disclose, expose","conceal, keep, withhold",Latin divulgare 'to publish widely'
docile,DOS-ul,Adjective,Obedient; easily managed,"As docile as he seems today, that old lion was once a ferocious, snarling beast.","obedient, compliant, manageable","unruly, rebellious, stubborn",Latin docilis 'easily taught'
doctrinaire,dok-trih-NAIR,Adjective,Unable to compromise about points of doctrine; dogmatic; unyielding,"Weng had hoped that the student-led democracy movement might bring about change in China, but the repressive response of the doctrinaire hard-liners crushed his dreams.","dogmatic, rigid, inflexible","flexible, pragmatic, open-minded","French doctrinaire, from doctrine"
doctrine,DOK-trin,Noun,"Teachings in general; particular principle (religious, legal, etc.) taught",He was so committed to the doctrines of his faith that he was unable to evaluate them impartially.,"principle, teaching, tenet","heresy, disbelief","Latin doctrina, from doctor 'teacher'"
document,DOK-yoo-ment,Verb,Provide written evidence,She kept all the receipts from her business trip in order to document her expenses for the firm.,"record, substantiate, verify","refute, deny, contradict","Latin documentum 'lesson, proof'"
dolorous,DOL-or-us,Adjective,Sorrowful,He found the dolorous lamentations of the bereaved family emotionally disturbing.,"sorrowful, mournful, grievous","cheerful, joyous, happy","Latin dolorosus, from dolor 'pain, grief'"
dolt,DOHLT,Noun,Stupid person,"I thought I was talking to a mature audience; instead, I find myself addressing a pack of dolts.","fool, idiot, blockhead","genius, intellectual, sage","Unknown, possibly from dull"
domicile,DOM-ih-syl,Noun,Home,"Although his legal domicile was in New York City, his work kept him away from his residence for many years.","home, residence, dwelling","workplace, office","Latin domicilium, from domus 'house'"
domineer,dom-ih-NEER,Verb,Rule over tyrannically,"Students prefer teachers who guide, not ones who domineer.","tyrannize, bully, dominate","serve, yield, obey","Dutch domineren, from Latin dominari 'to rule'"
dormant,DOR-ment,Adjective,Sleeping; lethargic; latent,At fifty her long-dormant ambition to write flared up once more.,"sleeping, latent, inactive","active, awake, energetic",Latin dormire 'to sleep'
dossier,DOS-ee-ay,Noun,File of documents on a subject,"Ordered by J. Edgar Hoover to investigate the senator, the FBI compiled a complete dossier on him.","file, record, portfolio",N/A,French dossier 'bundle of papers'
dotage,DOH-tij,Noun,Senility,"In his dotage, the old man bored us with long tales of events in his childhood.","senility, old age, second childhood","youth, vigor, sharpness",Middle English doten 'to be foolish'
dote,DOHT,Verb,Be excessively fond of; show signs of mental decline,"Not only grandmothers bore you with stories about their brilliant grandchildren; grandfathers dote on the little rascals, too.","adore, be besotted, obsess","neglect, ignore, dislike",Middle Dutch doten 'to be silly'
dour,DOWER,Adjective,Sullen; stubborn,The man was dour and taciturn.,"sullen, grim, stern","cheerful, pleasant, friendly","Scottish Gaelic dur 'hard, stubborn'"
douse,DOWSS,Verb,Plunge into water; drench; extinguish,They doused each other with hoses and water balloons.,"drench, soak, extinguish","dry, ignite, light",Dutch dossen 'to strike'
dowdy,DOW-dee,Adjective,Slovenly; untidy,She tried to change her dowdy image by buying a fashionable new wardrobe.,"shabby, frumpy, slovenly","stylish, elegant, fashionable",Unknown origin
downcast,DOWN-kast,Adjective,Disheartened; sad,"Cheerful and optimistic by nature, Beth was never downcast despite the difficulties she faced.","sad, dejected, despondent","cheerful, upbeat, hopeful",down + cast
drab,DRAB,Adjective,Dull; lacking color; cheerless,"The Dutch woman's drab winter coat contrasted with the distinctive, colorful native costume she wore beneath it.","dull, dreary, colorless","bright, colorful, vibrant",Old French drap 'cloth' (dull gray cloth)
draconian,dray-KOH-nee-un,Adjective,Extremely severe,"When the principal canceled the senior prom because some seniors had been late to school that week, we thought the draconian punishment was far too harsh.","harsh, severe, strict","lenient, mild, merciful","From Draco, Athenian legislator known for harsh laws"
dregs,DREGZ,Noun,Sediment; worthless residue,David poured the wine carefully to avoid stirring up the dregs.,"sediment, residue, lees","essence, cream, best part","Middle English dreg, from Old Norse dregg"
drivel,DRIV-ul,Noun,Nonsense; foolishness,Why do I have to spend my days listening to such idiotic drivel?,"nonsense, rubbish, twaddle","wisdom, sense, insight",Old English dreflian 'to slobber'
droll,DROHL,Adjective,Queer and amusing,He was a popular guest because his droll anecdotes were always entertaining.,"amusing, whimsical, comical","serious, solemn, tedious",Dutch drol 'little man'
drone,DROHN,Noun,Idle person; male bee,"Content to let his wife support him, the would-be writer was in reality nothing but a drone.","idler, loafer, lazybones","worker, producer, achiever",Old English dran 'male bee'
dross,DROS,Noun,Waste matter; worthless impurities,Many methods have been devised to separate the valuable metal from the dross.,"waste, refuse, impurity","essence, value, gold",Old English dros 'dregs'
drudgery,DRUJ-er-ee,Noun,Menial work,Cinderella's fairy godmother rescued her from a life of drudgery.,"toil, labor, grind","pleasure, leisure, luxury",Middle English drugge 'to toil'
dubious,DOO-bee-us,Adjective,Questionable; filled with doubt,Some critics of the GRE contend the test is of dubious worth.,"doubtful, uncertain, questionable","certain, reliable, credible","Latin dubiosus, from dubium 'doubt'"
